case_id,feature,delta,original_value,perturbed_value,clamped,original_verdict,perturbed_verdict,flipped
google_dr,traceability_integrity,0.1,0.55,0.65,False,APPROVE,APPROVE,False
google_flu,intrinsic_safety,-0.1,0.45,0.35,False,REJECT,REJECT,False
google_flu,intrinsic_safety,-0.05,0.45,0.4,False,REJECT,REJECT,False
google_flu,intrinsic_safety,0.0,0.45,0.45,False,REJECT,REJECT,False
google_flu,intrinsic_safety,0.05,0.45,0.5,False,REJECT,REJECT,False
google_flu,intrinsic_safety,0.1,0.45,0.55,False,REJECT,REJECT,False
google_flu,evidence_strength,-0.1,0.7,0.6,False,REJECT,REJECT,False
google_flu,evidence_strength,-0.05,0.7,0.65,False,REJECT,REJECT,False
google_flu,evidence_strength,0.0,0.7,0.7,False,REJECT,REJECT,False
google_flu,evidence_strength,0.05,0.7,0.75,False,REJECT,REJECT,False
google_flu,evidence_strength,0.1,0.7,0.8,False,REJECT,REJECT,False
google_flu,bias_harm_index,-0.1,0.1,0.0,False,REJECT,REJECT,False
google_flu,bias_harm_index,-0.05,0.1,0.05,False,REJECT,REJECT,False
google_flu,bias_harm_index,0.0,0.1,0.1,False,REJECT,REJECT,False
google_flu,bias_harm_index,0.05,0.1,0.15,False,REJECT,REJECT,False
google_flu,bias_harm_index,0.1,0.1,0.2,False,REJECT,REJECT,False
google_flu,uncertainty_calibration,-0.1,0.35,0.25,False,REJECT,REJECT,False
google_flu,uncertainty_calibration,-0.05,0.35,0.3,False,REJECT,REJECT,False
google_flu,uncertainty_calibration,0.0,0.35,0.35,False,REJECT,REJECT,False
google_flu,uncertainty_calibration,0.05,0.35,0.4,False,REJECT,REJECT,False
google_flu,uncertainty_calibration,0.1,0.35,0.45,False,REJECT,REJECT,False
google_flu,traceability_integrity,-0.1,0.4,0.3,False,REJECT,REJECT,False
google_flu,traceability_integrity,-0.05,0.4,0.35,False,REJECT,REJECT,False
google_flu,traceability_integrity,0.0,0.4,0.4,False,REJECT,REJECT,False
google_flu,traceability_integrity,0.05,0.4,0.45,False,REJECT,REJECT,False
google_flu,traceability_integrity,0.1,0.4,0.5,False,REJECT,REJECT,False
ibm_watson,intrinsic_safety,-0.1,0.25,0.15,False,REJECT,REJECT,False
ibm_watson,intrinsic_safety,-0.05,0.25,0.2,False,REJECT,REJECT,False
ibm_watson,intrinsic_safety,0.0,0.25,0.25,False,REJECT,REJECT,False
ibm_watson,intrinsic_safety,0.05,0.25,0.3,False,REJECT,REJECT,False
ibm_watson,intrinsic_safety,0.1,0.25,0.35,False,REJECT,REJECT,False
ibm_watson,evidence_strength,-0.1,0.35,0.25,False,REJECT,REJECT,False
ibm_watson,evidence_strength,-0.05,0.35,0.3,False,REJECT,REJECT,False
ibm_watson,evidence_strength,0.0,0.35,0.35,False,REJECT,REJECT,False
ibm_watson,evidence_strength,0.05,0.35,0.4,False,REJECT,REJECT,False
ibm_watson,evidence_strength,0.1,0.35,0.45,False,REJECT,REJECT,False
ibm_watson,bias_harm_index,-0.1,0.2,0.1,False,REJECT,REJECT,False
ibm_watson,bias_harm_index,-0.05,0.2,0.15,False,REJECT,REJECT,False
ibm_watson,bias_harm_index,0.0,0.2,0.2,False,REJECT,REJECT,False
ibm_watson,bias_harm_index,0.05,0.2,0.25,False,REJECT,REJECT,False
ibm_watson,bias_harm_index,0.1,0.2,0.3,False,REJECT,REJECT,False
ibm_watson,uncertainty_calibration,-0.1,0.35,0.25,False,REJECT,REJECT,False
ibm_watson,uncertainty_calibration,-0.05,0.35,0.3,False,REJECT,REJECT,False
ibm_watson,uncertainty_calibration,0.0,0.35,0.35,False,REJECT,REJECT,False
ibm_watson,uncertainty_calibration,0.05,0.35,0.4,False,REJECT,REJECT,False
ibm_watson,uncertainty_calibration,0.1,0.35,0.45,False,REJECT,REJECT,False
ibm_watson,traceability_integrity,-0.1,0.2,0.1,False,REJECT,REJECT,False
ibm_watson,traceability_integrity,-0.05,0.2,0.15,False,REJECT,REJECT,False
ibm_watson,traceability_integrity,0.0,0.2,0.2,False,REJECT,REJECT,False
ibm_watson,traceability_integrity,0.05,0.2,0.25,False,REJECT,REJECT,False
ibm_watson,traceability_integrity,0.1,0.2,0.3,False,REJECT,REJECT,False
microsoft_tay,intrinsic_safety,-0.1,0.2,0.1,False,REJECT,REJECT,False
microsoft_tay,intrinsic_safety,-0.05,0.2,0.15,False,REJECT,REJECT,False
microsoft_tay,intrinsic_safety,0.0,0.2,0.2,False,REJECT,REJECT,False
microsoft_tay,intrinsic_safety,0.05,0.2,0.25,False,REJECT,REJECT,False
microsoft_tay,intrinsic_safety,0.1,0.2,0.3,False,REJECT,REJECT,False
microsoft_tay,evidence_strength,-0.1,0.5,0.4,False,REJECT,REJECT,False
microsoft_tay,evidence_strength,-0.05,0.5,0.45,False,REJECT,REJECT,False
microsoft_tay,evidence_strength,0.0,0.5,0.5,False,REJECT,REJECT,False
microsoft_tay,evidence_strength,0.05,0.5,0.55,False,REJECT,REJECT,False
microsoft_tay,evidence_strength,0.1,0.5,0.6,False,REJECT,REJECT,False
microsoft_tay,bias_harm_index,-0.1,0.6,0.5,False,REJECT,REJECT,False
microsoft_tay,bias_harm_index,-0.05,0.6,0.55,False,REJECT,REJECT,False
microsoft_tay,bias_harm_index,0.0,0.6,0.6,False,REJECT,REJECT,False
microsoft_tay,bias_harm_index,0.05,0.6,0.65,False,REJECT,REJECT,False
microsoft_tay,bias_harm_index,0.1,0.6,0.7,False,REJECT,REJECT,False
microsoft_tay,uncertainty_calibration,-0.1,0.3,0.2,False,REJECT,REJECT,False
microsoft_tay,uncertainty_calibration,-0.05,0.3,0.25,False,REJECT,REJECT,False
microsoft_tay,uncertainty_calibration,0.0,0.3,0.3,False,REJECT,REJECT,False
microsoft_tay,uncertainty_calibration,0.05,0.3,0.35,False,REJECT,REJECT,False
microsoft_tay,uncertainty_calibration,0.1,0.3,0.4,False,REJECT,REJECT,False
microsoft_tay,traceability_integrity,-0.1,0.4,0.3,False,REJECT,REJECT,False
microsoft_tay,traceability_integrity,-0.05,0.4,0.35,False,REJECT,REJECT,False
microsoft_tay,traceability_integrity,0.0,0.4,0.4,False,REJECT,REJECT,False
microsoft_tay,traceability_integrity,0.05,0.4,0.45,False,REJECT,REJECT,False
microsoft_tay,traceability_integrity,0.1,0.4,0.5,False,REJECT,REJECT,False
optum_health,intrinsic_safety,-0.1,0.45,0.35,False,REJECT,REJECT,False
optum_health,intrinsic_safety,-0.05,0.45,0.4,False,REJECT,REJECT,False
optum_health,intrinsic_safety,0.0,0.45,0.45,False,REJECT,REJECT,False
optum_health,intrinsic_safety,0.05,0.45,0.5,False,REJECT,REJECT,False
optum_health,intrinsic_safety,0.1,0.45,0.55,False,REJECT,REJECT,False
optum_health,evidence_strength,-0.1,0.7,0.6,False,REJECT,REJECT,False
optum_health,evidence_strength,-0.05,0.7,0.65,False,REJECT,REJECT,False
optum_health,evidence_strength,0.0,0.7,0.7,False,REJECT,REJECT,False
optum_health,evidence_strength,0.05,0.7,0.75,False,REJECT,REJECT,False
optum_health,evidence_strength,0.1,0.7,0.8,False,REJECT,REJECT,False
optum_health,bias_harm_index,-0.1,0.85,0.75,False,REJECT,REJECT,False
optum_health,bias_harm_index,-0.05,0.85,0.8,False,REJECT,REJECT,False
optum_health,bias_harm_index,0.0,0.85,0.85,False,REJECT,REJECT,False
optum_health,bias_harm_index,0.05,0.85,0.9,False,REJECT,REJECT,False
optum_health,bias_harm_index,0.1,0.85,0.95,False,REJECT,REJECT,False
optum_health,uncertainty_calibration,-0.1,0.45,0.35,False,REJECT,REJECT,False
optum_health,uncertainty_calibration,-0.05,0.45,0.4,False,REJECT,REJECT,False
optum_health,uncertainty_calibration,0.0,0.45,0.45,False,REJECT,REJECT,False
optum_health,uncertainty_calibration,0.05,0.45,0.5,False,REJECT,REJECT,False
optum_health,uncertainty_calibration,0.1,0.45,0.55,False,REJECT,REJECT,False
optum_health,traceability_integrity,-0.1,0.45,0.35,False,REJECT,REJECT,False
optum_health,traceability_integrity,-0.05,0.45,0.4,False,REJECT,REJECT,False
optum_health,traceability_integrity,0.0,0.45,0.45,False,REJECT,REJECT,False
optum_health,traceability_integrity,0.05,0.45,0.5,False,REJECT,REJECT,False
optum_health,traceability_integrity,0.1,0.45,0.55,False,REJECT,REJECT,False
uber_av,intrinsic_safety,-0.1,0.1,0.0,False,REJECT,REJECT,False
uber_av,intrinsic_safety,-0.05,0.1,0.05,False,REJECT,REJECT,False
uber_av,intrinsic_safety,0.0,0.1,0.1,False,REJECT,REJECT,False
uber_av,intrinsic_safety,0.05,0.1,0.15,False,REJECT,REJECT,False
uber_av,intrinsic_safety,0.1,0.1,0.2,False,REJECT,REJECT,False
uber_av,evidence_strength,-0.1,0.75,0.65,False,REJECT,REJECT,False
uber_av,evidence_strength,-0.05,0.75,0.7,False,REJECT,REJECT,False
uber_av,evidence_strength,0.0,0.75,0.75,False,REJECT,REJECT,False
uber_av,evidence_strength,0.05,0.75,0.8,False,REJECT,REJECT,False
uber_av,evidence_strength,0.1,0.75,0.85,False,REJECT,REJECT,False
uber_av,bias_harm_index,-0.1,0.05,0.0,True,REJECT,REJECT,False
uber_av,bias_harm_index,-0.05,0.05,0.0,False,REJECT,REJECT,False
uber_av,bias_harm_index,0.0,0.05,0.05,False,REJECT,REJECT,False
uber_av,bias_harm_index,0.05,0.05,0.1,False,REJECT,REJECT,False
uber_av,bias_harm_index,0.1,0.05,0.15,False,REJECT,REJECT,False
uber_av,uncertainty_calibration,-0.1,0.25,0.15,False,REJECT,REJECT,False
uber_av,uncertainty_calibration,-0.05,0.25,0.2,False,REJECT,REJECT,False
uber_av,uncertainty_calibration,0.0,0.25,0.25,False,REJECT,REJECT,False
uber_av,uncertainty_calibration,0.05,0.25,0.3,False,REJECT,REJECT,False
uber_av,uncertainty_calibration,0.1,0.25,0.35,False,REJECT,REJECT,False
uber_av,traceability_integrity,-0.1,0.7,0.6,False,REJECT,REJECT,False
uber_av,traceability_integrity,-0.05,0.7,0.65,False,REJECT,REJECT,False
uber_av,traceability_integrity,0.0,0.7,0.7,False,REJECT,REJECT,False
uber_av,traceability_integrity,0.05,0.7,0.75,False,REJECT,REJECT,False
uber_av,traceability_integrity,0.1,0.7,0.8,False,REJECT,REJECT,False
uk_alevels,intrinsic_safety,-0.1,0.3,0.2,False,REJECT,REJECT,False
uk_alevels,intrinsic_safety,-0.05,0.3,0.25,False,REJECT,REJECT,False
uk_alevels,intrinsic_safety,0.0,0.3,0.3,False,REJECT,REJECT,False
uk_alevels,intrinsic_safety,0.05,0.3,0.35,False,REJECT,REJECT,False
uk_alevels,intrinsic_safety,0.1,0.3,0.4,False,REJECT,REJECT,False
uk_alevels,evidence_strength,-0.1,0.55,0.45,False,REJECT,REJECT,False
uk_alevels,evidence_strength,-0.05,0.55,0.5,False,REJECT,REJECT,False
uk_alevels,evidence_strength,0.0,0.55,0.55,False,REJECT,REJECT,False
uk_alevels,evidence_strength,0.05,0.55,0.6,False,REJECT,REJECT,False
uk_alevels,evidence_strength,0.1,0.55,0.65,False,REJECT,REJECT,False
uk_alevels,bias_harm_index,-0.1,0.75,0.65,False,REJECT,REJECT,False
uk_alevels,bias_harm_index,-0.05,0.75,0.7,False,REJECT,REJECT,False
uk_alevels,bias_harm_index,0.0,0.75,0.75,False,REJECT,REJECT,False
uk_alevels,bias_harm_index,0.05,0.75,0.8,False,REJECT,REJECT,False
uk_alevels,bias_harm_index,0.1,0.75,0.85,False,REJECT,REJECT,False
uk_alevels,uncertainty_calibration,-0.1,0.4,0.3,False,REJECT,REJECT,False
uk_alevels,uncertainty_calibration,-0.05,0.4,0.35,False,REJECT,REJECT,False
uk_alevels,uncertainty_calibration,0.0,0.4,0.4,False,REJECT,REJECT,False
uk_alevels,uncertainty_calibration,0.05,0.4,0.45,False,REJECT,REJECT,False
uk_alevels,uncertainty_calibration,0.1,0.4,0.5,False,REJECT,REJECT,False
uk_alevels,traceability_integrity,-0.1,0.45,0.35,False,REJECT,REJECT,False
uk_alevels,traceability_integrity,-0.05,0.45,0.4,False,REJECT,REJECT,False
uk_alevels,traceability_integrity,0.0,0.45,0.45,False,REJECT,REJECT,False
uk_alevels,traceability_integrity,0.05,0.45,0.5,False,REJECT,REJECT,False
uk_alevels,traceability_integrity,0.1,0.45,0.55,False,REJECT,REJECT,False
